Local time,Open,High,Low,Close,Volume
13.08.2021 01:00:00.000 GMT+0100,25.876,26.377,25.747,26.266,4588.3042
14.08.2021 01:00:00.000 GMT+0100,26.266,26.266,26.266,26.266,0
15.08.2021 01:00:00.000 GMT+0100,26.266,26.266,26.266,26.266,0
16.08.2021 01:00:00.000 GMT+0100,26.926,27.466,26.346,26.357,8503.4258
17.08.2021 01:00:00.000 GMT+0100,27.167,28.557,26.757,27.207,25287.5371
18.08.2021 01:00:00.000 GMT+0100,27.557,29.307,27.177,29.037,23930.25
19.08.2021 01:00:00.000 GMT+0100,30.407,30.887,28.916,29.977,58360.082
20.08.2021 01:00:00.000 GMT+0100,29.517,29.697,27.527,27.716,16565.5957
21.08.2021 01:00:00.000 GMT+0100,27.716,27.716,27.716,27.716,0
22.08.2021 01:00:00.000 GMT+0100,27.716,27.716,27.716,27.716,0
23.08.2021 01:00:00.000 GMT+0100,26.986,26.986,26.356,26.807,5432.2012
24.08.2021 01:00:00.000 GMT+0100,26.676,26.917,26.536,26.716,5446.2041
25.08.2021 01:00:00.000 GMT+0100,26.626,26.757,26.036,26.096,3391.165
26.08.2021 01:00:00.000 GMT+0100,26.516,27.567,26.256,27.217,21566.7852
27.08.2021 01:00:00.000 GMT+0100,26.827,26.836,25.636,25.816,8422.2891
28.08.2021 01:00:00.000 GMT+0100,25.816,25.816,25.816,25.816,0
29.08.2021 01:00:00.000 GMT+0100,25.816,25.816,25.816,25.816,0
30.08.2021 01:00:00.000 GMT+0100,25.556,25.877,25.417,25.566,3019.2053
31.08.2021 01:00:00.000 GMT+0100,25.697,25.967,25.436,25.466,7063.1353
01.09.2021 01:00:00.000 GMT+0100,25.277,25.537,24.646,24.816,5100.0898
02.09.2021 01:00:00.000 GMT+0100,24.537,25.247,24.506,24.756,5419.1323
03.09.2021 01:00:00.000 GMT+0100,25.207,25.417,24.717,24.996,7615.1885
04.09.2021 01:00:00.000 GMT+0100,24.996,24.996,24.996,24.996,0
05.09.2021 01:00:00.000 GMT+0100,24.996,24.996,24.996,24.996,0
06.09.2021 01:00:00.000 GMT+0100,24.996,24.996,24.996,24.996,0
07.09.2021 01:00:00.000 GMT+0100,25.106,25.786,25.086,25.527,8749.3652
08.09.2021 01:00:00.000 GMT+0100,26.006,26.437,25.437,25.497,17233.7559
09.09.2021 01:00:00.000 GMT+0100,25.687,26.147,24.946,26.066,17585.4414
10.09.2021 01:00:00.000 GMT+0100,25.157,27.186,24.916,27.097,17351.2012
11.09.2021 01:00:00.000 GMT+0100,27.097,27.097,27.097,27.097,0
12.09.2021 01:00:00.000 GMT+0100,27.097,27.097,27.097,27.097,0
13.09.2021 01:00:00.000 GMT+0100,25.887,27.306,25.756,26.057,28041.6309
14.09.2021 01:00:00.000 GMT+0100,25.667,26.886,25.506,26.416,19292.7012
15.09.2021 01:00:00.000 GMT+0100,25.957,26.526,25.227,25.426,11774.415
16.09.2021 01:00:00.000 GMT+0100,25.576,26.167,24.896,25.166,14457.4482
17.09.2021 01:00:00.000 GMT+0100,25.307,26.887,25.127,26.786,23550.8926
18.09.2021 01:00:00.000 GMT+0100,26.786,26.786,26.786,26.786,0
19.09.2021 01:00:00.000 GMT+0100,26.786,26.786,26.786,26.786,0
20.09.2021 01:00:00.000 GMT+0100,28.926,32.387,28.246,29.736,65852.8906
