Local time,Open,High,Low,Close,Volume
18.07.2021 01:00:00.000 GMT+0100,34662.729,34685.779,34538.279,34561.219,1.2631
19.07.2021 01:00:00.000 GMT+0100,34560.719,34572.799,33736.219,34045.229,45.8175
20.07.2021 01:00:00.000 GMT+0100,34044.999,34617.499,33956.239,34590.209,38.9413
21.07.2021 01:00:00.000 GMT+0100,34588.209,34855.779,34474.249,34833.799,26.2202
22.07.2021 01:00:00.000 GMT+0100,34833.229,34896.579,34665.729,34865.759,25.7341
23.07.2021 01:00:00.000 GMT+0100,34866.769,35098.759,34848.719,35046.759,20.7761
24.07.2021 01:00:00.000 GMT+0100,35046.759,35046.759,35046.759,35046.759,0
25.07.2021 01:00:00.000 GMT+0100,35045.739,35059.289,35021.729,35032.239,0.583
26.07.2021 01:00:00.000 GMT+0100,35031.229,35164.229,34758.029,35104.789,28.4117
27.07.2021 01:00:00.000 GMT+0100,35104.739,35117.249,34872.289,35041.219,34.7542
28.07.2021 01:00:00.000 GMT+0100,35040.769,35123.299,34871.499,34989.229,35.7784
29.07.2021 01:00:00.000 GMT+0100,34989.749,35165.769,34879.299,35020.259,26.7215
30.07.2021 01:00:00.000 GMT+0100,35020.259,35100.759,34863.219,34968.999,33.7681
31.07.2021 01:00:00.000 GMT+0100,34968.999,34968.999,34968.999,34968.999,0
01.08.2021 01:00:00.000 GMT+0100,34996.247,35088.247,34981.297,35063.197,0.4857
02.08.2021 01:00:00.000 GMT+0100,35064.737,35188.289,34806.739,34904.729,29.7578
03.08.2021 01:00:00.000 GMT+0100,34905.779,35119.299,34713.699,35062.259,28.2882
04.08.2021 01:00:00.000 GMT+0100,35061.269,35108.769,34786.199,34827.299,25.156
05.08.2021 01:00:00.000 GMT+0100,34826.219,35061.299,34776.209,35003.769,20.613
06.08.2021 01:00:00.000 GMT+0100,35004.719,35248.769,34992.699,35212.699,20.741
07.08.2021 01:00:00.000 GMT+0100,35212.699,35212.699,35212.699,35212.699,0
08.08.2021 01:00:00.000 GMT+0100,35204.269,35204.269,35090.209,35104.289,1.1941
09.08.2021 01:00:00.000 GMT+0100,35103.779,35191.799,35041.699,35093.759,20.3797
10.08.2021 01:00:00.000 GMT+0100,35093.249,35281.759,35026.279,35253.759,21.1521
11.08.2021 01:00:00.000 GMT+0100,35253.229,35500.209,35211.499,35473.289,21.0394
12.08.2021 01:00:00.000 GMT+0100,35472.209,35522.299,35348.199,35495.799,18.742
13.08.2021 01:00:00.000 GMT+0100,35496.289,35611.779,35474.759,35502.739,17.2902
14.08.2021 01:00:00.000 GMT+0100,35502.739,35502.739,35502.739,35502.739,0
15.08.2021 01:00:00.000 GMT+0100,35449.789,35462.759,35442.729,35457.779,0.4702
16.08.2021 01:00:00.000 GMT+0100,35456.259,35628.299,35231.749,35583.499,22.8632
17.08.2021 01:00:00.000 GMT+0100,35582.789,35586.499,35121.199,35256.499,31.0186
18.08.2021 01:00:00.000 GMT+0100,35255.719,35359.299,34915.699,34938.779,28.4102
19.08.2021 01:00:00.000 GMT+0100,34937.709,35001.999,34562.529,34827.279,40.8428
20.08.2021 01:00:00.000 GMT+0100,34826.239,35174.789,34629.579,35089.709,35.1183
21.08.2021 01:00:00.000 GMT+0100,35089.709,35089.709,35089.709,35089.709,0
22.08.2021 01:00:00.000 GMT+0100,35079.789,35139.769,35066.719,35115.269,0.699
23.08.2021 01:00:00.000 GMT+0100,35116.219,35422.499,35113.199,35396.249,24.8733
24.08.2021 01:00:00.000 GMT+0100,35398.789,35450.249,35341.519,35367.499,20.2264
25.08.2021 01:00:00.000 GMT+0100,35366.789,35500.499,35281.739,35425.749,19.8354
26.08.2021 01:00:00.000 GMT+0100,35426.239,35493.769,35194.729,35204.699,28.8497
27.08.2021 01:00:00.000 GMT+0100,35204.789,35479.269,35168.269,35437.219,19.8062
28.08.2021 01:00:00.000 GMT+0100,35437.219,35437.219,35437.219,35437.219,0
29.08.2021 01:00:00.000 GMT+0100,35459.799,35510.769,35447.759,35488.789,0.6392
30.08.2021 01:00:00.000 GMT+0100,35488.769,35511.289,35377.219,35398.729,16.465
31.08.2021 01:00:00.000 GMT+0100,35397.799,35512.299,35288.729,35417.739,24.9396
01.09.2021 01:00:00.000 GMT+0100,35418.499,35515.567,35284.779,35304.739,16.2298
02.09.2021 01:00:00.000 GMT+0100,35304.797,35475.269,35234.739,35427.719,15.0297
03.09.2021 01:00:00.000 GMT+0100,35428.799,35518.499,35263.199,35355.739,16.4903
04.09.2021 01:00:00.000 GMT+0100,35355.739,35355.739,35355.739,35355.739,0
05.09.2021 01:00:00.000 GMT+0100,35362.749,35365.787,35308.699,35314.789,0.6041
06.09.2021 01:00:00.000 GMT+0100,35315.279,35492.289,35277.699,35399.699,9.8527
07.09.2021 01:00:00.000 GMT+0100,35400.219,35433.249,35048.739,35057.299,23.0489
